SRA	LibraryLayout	Method	TF geneid	TF name	TF Family	Sample	Condition	Tissue	Rep	Include	PMID
SRR8524980	Paired	ChIP_protoplast	Zm00001d025141	Zm00001d025141	bHLH	bHLH_TF142_R2	TF	Leaf protoplast	R2	Yes	33037196
SRR8524981	Paired	ChIP_protoplast	Zm00001d033267	Zm00001d033267	bHLH	bHLH_TF148_R1	TF	Leaf protoplast	R1	Yes	33037196
SRR8524982	Paired	ChIP_protoplast	Zm00001d033267	Zm00001d033267	bHLH	bHLH_TF148_R2	TF	Leaf protoplast	R2	Yes	33037196
SRR8524983	Paired	ChIP_protoplast	Zm00001d047017	Zm00001d047017	bHLH	bHLH_TF139_R1	TF	Leaf protoplast	R1	Yes	33037196
SRR8524984	Paired	ChIP_protoplast	Zm00001d047017	Zm00001d047017	bHLH	bHLH_TF139_R2	TF	Leaf protoplast	R2	Yes	33037196
SRR8524985	Paired	ChIP_protoplast	Zm00001d048208	EREB71	EREB	EREB_TF140_R1	TF	Leaf protoplast	R1	Yes	33037196
SRR8524986	Paired	ChIP_protoplast	Zm00001d048208	EREB71	EREB	EREB_TF140_R2	TF	Leaf protoplast	R2	Yes	33037196
SRR8524987	Paired	ChIP_protoplast	Zm00001d038843	Zm00001d038843	WRKY	WRKY_TF111_R2	TF	Leaf protoplast	R2	Yes	33037196
SRR8524988	Paired	ChIP_protoplast	Zm00001d031044	Zm00001d031044	bHLH	bHLH_TF149_R1	TF	Leaf protoplast	R1	Yes	33037196
SRR8524989	Paired	ChIP_protoplast	Zm00001d031044	Zm00001d031044	bHLH	bHLH_TF149_R2	TF	Leaf protoplast	R2	Yes	33037196
SRR8524990	Paired	ChIP_protoplast	Zm00001d020492	Zm00001d020492	WRKY	WRKY_TF66_R2	TF	Leaf protoplast	R2	Yes	33037196
SRR8524991	Paired	ChIP_protoplast	Zm00001d020492	Zm00001d020492	WRKY	WRKY_TF66_R1	TF	Leaf protoplast	R1	Yes	33037196
SRR8524992	Paired	ChIP_protoplast	Zm00001d027901	Zm00001d027901	ZIM	ZIM_TF59_R2	TF	Leaf protoplast	R2	Yes	33037196
SRR8524993	Paired	ChIP_protoplast	Zm00001d027901	Zm00001d027901	ZIM	ZIM_TF59_R1	TF	Leaf protoplast	R1	Yes	33037196
SRR8524994	Paired	ChIP_protoplast	Zm00001d015407	Zm00001d015407	GLK	GLK_TF58_R2	TF	Leaf protoplast	R2	Yes	33037196
SRR8524995	Paired	ChIP_protoplast	Zm00001d031796	Zm00001d031796	EREB	EREB_TF64_R2	TF	Leaf protoplast	R2	Yes	33037196
SRR8524998	Paired	ChIP_protoplast	Zm00001d046925	Zm00001d046925	C2C2-COL	C2C2-COL_TF61_R2	TF	Leaf protoplast	R2	Yes	33037196
SRR8525000	Paired	ChIP_protoplast	Zm00001d038843	Zm00001d038843	WRKY	WRKY_TF111_R1	TF	Leaf protoplast	R1	Yes	33037196
SRR8525001	Paired	ChIP_protoplast	Zm00001d017726	Zm00001d017726	GLK	GLK_TF171_R2	TF	Leaf protoplast	R2	Yes	33037196
SRR8525002	Paired	ChIP_protoplast	Zm00001d017726	Zm00001d017726	GLK	GLK_TF171_R1	TF	Leaf protoplast	R1	Yes	33037196
SRR8525003	Paired	ChIP_protoplast	Zm00001d039260	Zm00001d039260	GLK	GLK_TF172_R2	TF	Leaf protoplast	R2	Yes	33037196
SRR8525004	Paired	ChIP_protoplast	Zm00001d039260	Zm00001d039260	GLK	GLK_TF172_R1	TF	Leaf protoplast	R1	Yes	33037196
SRR8525005	Paired	ChIP_protoplast	Zm00001d010634	Zm00001d010634	GLK	GLK_TF173_R2	TF	Leaf protoplast	R2	Yes	33037196
SRR8525006	Paired	ChIP_protoplast	Zm00001d010634	Zm00001d010634	GLK	GLK_TF173_R1	TF	Leaf protoplast	R1	Yes	33037196
SRR8525007	Paired	ChIP_protoplast	Zm00001d005692	Zm00001d005692	HB	HB_TF174_R2	TF	Leaf protoplast	R2	Yes	33037196
SRR8525008	Paired	ChIP_protoplast	Zm00001d002799	Zm00001d002799	HB	HB_TF177_R2	TF	Leaf protoplast	R2	Yes	33037196
